media( ---- 14
float ----- 12
n1 -------- 15
, --------- 4
float ----- 12
n2 -------- 15
, --------- 4
int ------- 12
n3 -------- 15
) --------- 5
: --------- 1
float ----- 12
var ------- 7
: --------- 1
const ----- 9
m2 -------- 15
= --------- 10
"ola" ----- 16
; --------- 8
const ----- 9
M --------- 15
= --------- 10
10 -------- 18
; --------- 8
n1 -------- 15
, --------- 4
n2 -------- 15
, --------- 4
n3 -------- 15
: --------- 1
int ------- 12
; --------- 8
end ------- 3
main ------ 6
: --------- 1
var ------- 7
: --------- 1
const ----- 9
VALOR ----- 15
= --------- 10
3.14 ------ 17
; --------- 8
cont ------ 15
VALOR ----- 15
= --------- 10
4 --------- 18
; --------- 8
end ------- 3
